awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi,Title,Authors,Source Title,Publication Date,Publication Year,Conference Title,Conference Date,Total Citations,Average per Year,ave3,ave5
23360164,2011,2013,12900000,0,33924,3,SE,3,10.1166/jnn.2011.3980,Anisotropic Scattering of Elongated GaSb/GaAs Quantum Dots Embedded Near Two-Dimensional Electron Gas,"Li, Guodong; Jiang, Chao; Sakaki, Hiroyuki",JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,DEC 2011,2011,3rd IEEE International NanoElectronics Conference (INEC)/Symposium on Nanoscience and Nanotechnology in China,"JAN 03-08, 2010",2.0,0.15,0.0,0.2
23360164,2011,2013,12900000,0,33924,3,SE,3,10.1016/j.jcrysgro.2011.09.016,Self-assembled growth of GaSb type-II nanorods aligned along quasiperiodic multiatomic steps on vicinal (111)B GaAs,"Kawazu, Takuya; Akiyama, Yoshihiro; Sakaki, Hiroyuki",JOURNAL OF CRYSTAL GROWTH,NOV 15 2011,2011,,,1.0,0.08,0.333333333,0.2
23340022,2011,2015,14000000,0,12102,5,SE,1,10.1080/03610918.2012.695841,A Higher Order Approximation to a Percentage Point of the Distribution of a Noncentral t-Statistic Without the Normality Assumption,"Akahira, M.; Ohyauchi, N.; Kawai, S.",COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,OCT 1 2013,2013,,,0.0,0.0,0.0,0.0
23340022,2011,2015,14000000,0,12102,5,SE,1,10.1007/s10463-011-0347-4,"Loss of information of a statistic for a family of non-regular distributions, II: more general case","Akahira, Masafumi; Kim, Hyo Gyeong; Ohyauchi, Nao",ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,DEC 2012,2012,,,0.0,0.0,0.0,0.0
23340022,2011,2015,14000000,0,12102,5,SE,1,10.1080/07474946.2011.619088,Two-Stage Procedures for High-Dimensional Data,"Aoshima, Makoto; Yata, Kazuyoshi",SEQUENTIAL ANALYSIS-DESIGN METHODS AND APPLICATIONS,2011,2011,,,48.0,3.69,1.666666667,2.2
23360072,2011,2013,14400000,0,12601,3,SE,1,10.1088/0022-3727/46/25/255304,Structural and environmental dependence of superlow friction in ion vapour-deposited a-C : H : Si films for solid lubrication application,"Chen, Xinchun; Kato, Takahisa; Kawaguchi, Masahiro; Nosaka, Masataka; Choi, Junho",JOURNAL OF PHYSICS D-APPLIED PHYSICS,JUN 26 2013,2013,,,28.0,2.55,1.666666667,1.6
23360072,2011,2013,14400000,0,12601,3,SE,1,10.1016/j.nimb.2011.01.100,Nitriding of high speed steel by bipolar PBII for improvement in adhesion strength of DLC films,"Choi, Junho; Soejima, Koji; Kato, Takahisa; Kawaguchi, Masahiro; Lee, Wonsik",NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,FEB 1 2012,2012,17th International Conference on Ion Beam Modification of Materials (IBMM),"AUG 22-27, 2010",15.0,1.25,1.333333333,1.8
23360072,2011,2013,14400000,0,12601,3,SE,1,10.1016/j.diamond.2011.04.003,Structural and mechanical properties of DLC films prepared by bipolar PBII&D,"Choi, Junho; Ishii, Keisuke; Kato, Takahisa; Kawaguchi, Masahiro; Lee, Wonsik",DIAMOND AND RELATED MATERIALS,MAY-JUN 2011,2011,"21st European Conference on Diamond, Diamond-Like Materials, Carbon Nanotubes, and Nitrides","SEP 05-09, 2010",46.0,3.54,2.333333333,3.2
23360072,2011,2013,14400000,0,12601,3,SE,1,10.1016/j.diamond.2013.02.010,Mechanical properties and thermal stability of SiBCN films prepared by ion beam assisted sputter deposition,"Choi, Junho; Hayashi, Naohiro; Kato, Takahisa; Kawaguchi, Masahiro",DIAMOND AND RELATED MATERIALS,APR 2013,2013,,,16.0,1.45,0.666666667,1.8
23360072,2011,2013,14400000,0,12601,3,SE,1,10.1016/j.surfcoat.2011.04.011,Low temperature Si-DLC coatings on fluoro rubber by a bipolar pulse type PBII system,"Masami, Ikeyama; Haruho, Masuda; Tatsuya, Miyajima; Junho, Choi",SURFACE & COATINGS TECHNOLOGY,NOV 25 2011,2011,16th International Conference on Surface Modification of Materials by Ion Beams (SMMIB),"SEP 13-18, 2009",15.0,1.15,0.666666667,1.2
